,,version,ihl,tos,len,id,flags,frag,ttl,proto,chksum,src,dst,options,time,sport,dport,seq,ack,dataofs,reserved,window,urgptr,payload,payload_raw,payload_hex
1,1310,4,5,0,40,0,R,0,40,6,54199,220.181.38.148,172.17.0.2,,1649261580.514338,80,41276,272399107,0,5,0,0,0,0,b'',b''
1,1258,4,5,0,60,16637,S,0,64,6,44939,172.17.0.2,220.181.38.148,5,1649261576.288413,41276,80,41359032,0,10,0,64240,0,0,b'',b''
2,1264,4,5,0,40,16638,A,0,64,6,44919,172.17.0.2,220.181.38.148,,1649261576.478959,41276,80,41359033,272398720,5,0,502,0,0,b'',b''
3,1265,4,5,0,180,16639,PA,0,64,6,45059,172.17.0.2,220.181.38.148,0,1649261576.479016,41276,80,41359033,272398720,5,0,502,0,140,"b'GET / HTTP/1.1\r\nHost: baidu.com\r\nUser-Agent: python-requests/2.27.1\r\nAccept-Encoding: gzip, deflate\r\nAccept: */*\r\nConnection: keep-alive\r\n\r\n'",b'474554202f20485454502f312e310d0a486f73743a2062616964752e636f6d0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32372e310d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a'
4,1268,4,5,0,40,16640,A,0,64,6,44919,172.17.0.2,220.181.38.148,,1649261576.666161,41276,80,41359173,272399025,5,0,501,0,0,b'',b''
5,1270,4,5,0,40,16641,A,0,64,6,44919,172.17.0.2,220.181.38.148,,1649261576.666169,41276,80,41359173,272399106,5,0,501,0,0,b'',b''
6,1271,4,5,0,40,16642,FA,0,64,6,44919,172.17.0.2,220.181.38.148,,1649261576.666622,41276,80,41359173,272399106,5,0,501,0,0,b'',b''
7,1280,4,5,0,52,16643,A,0,64,6,44931,172.17.0.2,220.181.38.148,3,1649261576.673946,41276,80,41359174,272399106,8,0,501,0,0,b'',b''
8,1285,4,5,0,40,0,A,0,64,6,47097,172.17.0.2,220.181.38.148,,1649261576.860091,41276,80,41359174,272399107,5,0,501,0,0,b'',b''
9,1287,4,5,0,40,0,A,0,64,6,47097,172.17.0.2,220.181.38.148,,1649261577.294156,41276,80,41359174,272399107,5,0,501,0,0,b'',b''
10,4561,4,5,0,40,3850,RA,0,224,6,58348,207.171.166.22,172.17.0.2,,1649261645.201577,443,59678,0,1262769116,5,0,8212,0,0,b'',b''
10,4552,4,5,0,60,13459,S,0,64,6,8708,172.17.0.2,207.171.166.22,5,1649261645.131853,59678,443,1262769115,0,10,0,64240,0,0,b'',b''
11,4563,4,5,0,40,42370,RA,0,211,6,4057,72.21.210.29,172.17.0.2,,1649261645.258523,443,36186,0,1116465148,5,0,8212,0,0,b'',b''
11,4478,4,5,0,60,32011,S,0,64,6,50804,172.17.0.2,72.21.210.29,5,1649261644.807456,46406,80,2504471220,0,10,0,64240,0,0,b'',b''
12,4482,4,5,0,40,32012,A,0,64,6,50784,172.17.0.2,72.21.210.29,,1649261644.864125,46406,80,2504471221,3321816579,5,0,502,0,0,b'',b''
13,4483,4,5,0,184,32013,PA,0,64,6,50928,172.17.0.2,72.21.210.29,0,1649261644.864191,46406,80,2504471221,3321816579,5,0,502,0,144,"b'GET / HTTP/1.1\r\nHost: amazonaws.com\r\nUser-Agent: python-requests/2.27.1\r\nAccept-Encoding: gzip, deflate\r\nAccept: */*\r\nConnection: keep-alive\r\n\r\n'",b'474554202f20485454502f312e310d0a486f73743a20616d617a6f6e6177732e636f6d0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32372e310d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a'
14,4487,4,5,0,40,32014,A,0,64,6,50784,172.17.0.2,72.21.210.29,,1649261644.939367,46406,80,2504471365,3321817013,5,0,501,0,0,b'',b''
15,4545,4,5,0,40,32015,FA,0,64,6,50784,172.17.0.2,72.21.210.29,,1649261645.128979,46406,80,2504471365,3321817013,5,0,501,0,0,b'',b''
16,4560,4,5,0,40,32016,A,0,64,6,50784,172.17.0.2,72.21.210.29,,1649261645.185453,46406,80,2504471366,3321817014,5,0,501,0,0,b'',b''
17,4562,4,5,0,60,10420,S,0,64,6,50804,172.17.0.2,72.21.210.29,5,1649261645.201718,36186,443,1116465147,0,10,0,64240,0,0,b'',b''
18,4565,4,5,0,40,13751,RA,0,211,6,24668,72.21.206.80,172.17.0.2,,1649261645.322210,443,51336,0,1132551970,5,0,8212,0,0,b'',b''
18,4564,4,5,0,60,12172,S,0,64,6,49831,172.17.0.2,72.21.206.80,5,1649261645.258668,51336,443,1132551969,0,10,0,64240,0,0,b'',b''
19,5715,4,5,0,40,0,R,0,51,6,11317,104.18.100.40,172.17.0.2,,1649261654.083795,443,58204,2200216353,0,5,0,0,0,0,b'',b''
19,5454,4,5,0,60,4900,S,0,64,6,30844,172.17.0.2,104.18.100.40,5,1649261652.133678,58204,443,3161610293,0,10,0,64240,0,0,b'',b''
20,5459,4,5,0,40,4901,A,0,64,6,30824,172.17.0.2,104.18.100.40,,1649261652.161971,58204,443,3161610294,2200213205,5,0,502,0,0,b'',b''
21,5460,4,5,0,557,4902,PA,0,64,6,31341,172.17.0.2,104.18.100.40,0,1649261652.168358,58204,443,3161610294,2200213205,5,0,502,0,517,"b'\x16\x03\x01\x02\x00\x01\x00\x01\xfc\x03\x03A\x8b\x8a?\xcc-\x13\xb3""\xa9\xabnF\xc2\x90_Lx7\xf1O<g\xaa\x9c\x15\xed83\xde\x13g \x8e/h\n\x8d\x94i\xa4M\xea\x93\xbc\xab/X-\x99\xb1`2\x8f\xfer\x0e\xe1\x9f\x8c\r\x9fN\x8bG\x00V\x13\x02\x13\x03\x13\x01\xc0,\xc00\xc0+\xc0/\xcc\xa9\xcc\xa8\x00\x9f\x00\x9e\xcc\xaa\xc0\xaf\xc0\xad\xc0\xae\xc0\xac\xc0$\xc0(\xc0#\xc0\'\xc0\n\xc0\x14\xc0\t\xc0\x13\xc0\xa3\xc0\x9f\xc0\xa2\xc0\x9e\x00k\x00g\x009\x003\x00\x9d\x00\x9c\xc0\xa1\xc0\x9d\xc0\xa0\xc0\x9c\x00=\x00<\x005\x00/\x00\xff\x01\x00\x01]\x00\x00\x00\x13\x00\x11\x00\x00\x0echaturbate.com\x00\x0b\x00\x04\x03\x00\x01\x02\x00\n\x00\x0c\x00\n\x00\x1d\x00\x17\x00\x1e\x00\x19\x00\x18\x00\x10\x00\x0b\x00\t\x08http/1.1\x00\x16\x00\x00\x00\x17\x00\x00\x001\x00\x00\x00\r\x00*\x00(\x04\x03\x05\x03\x06\x03\x08\x07\x08\x08\x08\t\x08\n\x08\x0b\x08\x04\x08\x05\x08\x06\x04\x01\x05\x01\x06\x01\x03\x03\x03\x01\x03\x02\x04\x02\x05\x02\x06\x02\x00+\x00\x05\x04\x03\x04\x03\x03\x00-\x00\x02\x01\x01\x003\x00&\x00$\x00\x1d\x00 \xd2\xfc\xf8\xb4\x11!\x9aj*\xdf\xa2\x9d`\xfc\xd3\xe02\xf2\x0fj\xeavg\x85\xfd\xb2\xd3\x01@\x89\x92d\x00\x15\x00\xa8\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",b'1603010200010001fc0303418b8a3fcc2d13b322a9ab6e46c2905f4c7837f14f3c67aa9c15ed3833de1367208e2f680a8d9469a44dea93bcab2f582d99b160328ffe720ee19f8c0d9f4e8b470056130213031301c02cc030c02bc02fcca9cca8009f009eccaac0afc0adc0aec0acc024c028c023c027c00ac014c009c013c0a3c09fc0a2c09e006b006700390033009d009cc0a1c09dc0a0c09c003d003c0035002f00ff0100015d00000013001100000e636861747572626174652e636f6d000b000403000102000a000c000a001d0017001e001900180010000b000908687474702f312e31001600000017000000310000000d002a0028040305030603080708080809080a080b080408050806040105010601030303010302040205020602002b00050403040303002d00020101003300260024001d0020d2fcf8b411219a6a2adfa29d60fcd3e032f20f6aea766785fdb2d30140899264001500a8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000'
22,5463,4,5,0,40,4903,A,0,64,6,30824,172.17.0.2,104.18.100.40,,1649261652.213212,58204,443,3161610811,2200214665,5,0,501,0,0,b'',b''
23,5465,4,5,0,40,4904,A,0,64,6,30824,172.17.0.2,104.18.100.40,,1649261652.213222,58204,443,3161610811,2200216032,5,0,496,0,0,b'',b''
24,5467,4,5,0,40,4905,A,0,64,6,30824,172.17.0.2,104.18.100.40,,1649261652.213224,58204,443,3161610811,2200216353,5,0,494,0,0,b'',b''
25,5468,4,5,0,47,4906,PA,0,64,6,30831,172.17.0.2,104.18.100.40,0,1649261652.213525,58204,443,3161610811,2200216353,5,0,501,0,7,b'\x15\x03\x03\x00\x02\x020',b'15030300020230'
26,5469,4,5,0,40,4907,FA,0,64,6,30824,172.17.0.2,104.18.100.40,,1649261652.213610,58204,443,3161610818,2200216353,5,0,501,0,0,b'',b''
27,5483,4,5,0,40,4908,A,0,64,6,30824,172.17.0.2,104.18.100.40,,1649261652.237518,58204,443,3161610819,2200216353,5,0,501,0,0,b'',b''
28,5485,4,5,0,52,4909,A,0,64,6,30836,172.17.0.2,104.18.100.40,3,1649261652.237520,58204,443,3161610819,2200216353,8,0,501,0,0,b'',b''
29,5487,4,5,0,52,4910,A,0,64,6,30836,172.17.0.2,104.18.100.40,3,1649261652.237621,58204,443,3161610819,2200216353,8,0,501,0,0,b'',b''
30,5491,4,5,0,52,4911,A,0,64,6,30836,172.17.0.2,104.18.100.40,3,1649261652.296822,58204,443,3161610819,2200216353,8,0,501,0,0,b'',b''
31,5493,4,5,0,40,4912,FA,0,64,6,30824,172.17.0.2,104.18.100.40,,1649261652.439534,58204,443,3161610818,2200216353,5,0,501,0,0,b'',b''
32,5508,4,5,0,52,4913,A,0,64,6,30836,172.17.0.2,104.18.100.40,3,1649261652.528950,58204,443,3161610819,2200216353,8,0,501,0,0,b'',b''
33,5566,4,5,0,40,4914,FA,0,64,6,30824,172.17.0.2,104.18.100.40,,1649261652.667271,58204,443,3161610818,2200216353,5,0,501,0,0,b'',b''
34,5635,4,5,0,52,4915,A,0,64,6,30836,172.17.0.2,104.18.100.40,3,1649261652.991987,58204,443,3161610819,2200216353,8,0,501,0,0,b'',b''
35,5673,4,5,0,40,4916,A,0,64,6,30824,172.17.0.2,104.18.100.40,,1649261653.019569,58204,443,3161610819,2200216353,5,0,501,0,0,b'',b''
36,5689,4,5,0,40,4917,FA,0,64,6,30824,172.17.0.2,104.18.100.40,,1649261653.131202,58204,443,3161610818,2200216353,5,0,501,0,0,b'',b''
37,5714,4,5,0,40,4918,FA,0,64,6,30824,172.17.0.2,104.18.100.40,,1649261654.059433,58204,443,3161610818,2200216353,5,0,501,0,0,b'',b''
38,5824,4,5,0,40,22067,R,0,45,6,64593,36.51.254.229,172.17.0.2,,1649261659.357947,80,55796,4082177740,0,5,0,0,0,0,b'',b''
38,5737,4,5,0,60,50810,S,0,64,6,53082,172.17.0.2,36.51.254.229,5,1649261655.408583,55792,80,3924593374,0,10,0,64240,0,0,b'',b''
39,5742,4,5,0,40,50811,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261655.722458,55792,80,3924593375,1533373608,5,0,502,0,0,b'',b''
40,5743,4,5,0,182,50812,PA,0,64,6,53204,172.17.0.2,36.51.254.229,0,1649261655.722555,55792,80,3924593375,1533373608,5,0,502,0,142,"b'GET /us HTTP/1.1\r\nHost: weibo.com\r\nUser-Agent: python-requests/2.27.1\r\nAccept-Encoding: gzip, deflate\r\nAccept: */*\r\nConnection: keep-alive\r\n\r\n'",b'474554202f757320485454502f312e310d0a486f73743a20776569626f2e636f6d0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32372e310d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a'
41,5747,4,5,0,40,50813,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261656.044459,55792,80,3924593517,1533374076,5,0,501,0,0,b'',b''
42,5750,4,5,0,40,50814,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261656.087515,55792,80,3924593517,1533374077,5,0,501,0,0,b'',b''
43,5757,4,5,0,40,50815,FA,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261656.587706,55792,80,3924593517,1533374077,5,0,501,0,0,b'',b''
44,5763,4,5,0,60,63135,S,0,64,6,53082,172.17.0.2,36.51.254.229,5,1649261656.591111,44298,443,1091188255,0,10,0,64240,0,0,b'',b''
45,5770,4,5,0,40,63136,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261656.902724,44298,443,1091188256,1560776728,5,0,502,0,0,b'',b''
46,5771,4,5,0,557,63137,PA,0,64,6,53579,172.17.0.2,36.51.254.229,0,1649261656.909070,44298,443,1091188256,1560776728,5,0,502,0,517,"b""\x16\x03\x01\x02\x00\x01\x00\x01\xfc\x03\x03\x9d\x9b\x05(\xa0\x1b\x19\xad\xc1\xf5\xf8c#q\x1e\xb8\xbe1\xb0\x92,XktkFW\xb20\xd2\x1d\x14 M\xe6v\xfd:^H\xfb\x9c\xd79:\xec\\\xf1\xc1\xbd\x998_\xc7\xaa\x19c\xd2|\x15\x95Q\xb2\xb0)\x00V\x13\x02\x13\x03\x13\x01\xc0,\xc00\xc0+\xc0/\xcc\xa9\xcc\xa8\x00\x9f\x00\x9e\xcc\xaa\xc0\xaf\xc0\xad\xc0\xae\xc0\xac\xc0$\xc0(\xc0#\xc0'\xc0\n\xc0\x14\xc0\t\xc0\x13\xc0\xa3\xc0\x9f\xc0\xa2\xc0\x9e\x00k\x00g\x009\x003\x00\x9d\x00\x9c\xc0\xa1\xc0\x9d\xc0\xa0\xc0\x9c\x00=\x00<\x005\x00/\x00\xff\x01\x00\x01]\x00\x00\x00\x0e\x00\x0c\x00\x00\tweibo.com\x00\x0b\x00\x04\x03\x00\x01\x02\x00\n\x00\x0c\x00\n\x00\x1d\x00\x17\x00\x1e\x00\x19\x00\x18\x00\x10\x00\x0b\x00\t\x08http/1.1\x00\x16\x00\x00\x00\x17\x00\x00\x001\x00\x00\x00\r\x00*\x00(\x04\x03\x05\x03\x06\x03\x08\x07\x08\x08\x08\t\x08\n\x08\x0b\x08\x04\x08\x05\x08\x06\x04\x01\x05\x01\x06\x01\x03\x03\x03\x01\x03\x02\x04\x02\x05\x02\x06\x02\x00+\x00\x05\x04\x03\x04\x03\x03\x00-\x00\x02\x01\x01\x003\x00&\x00$\x00\x1d\x00 d\x84\x87\xe3N\xb1\xb6\x07\xd7e\xb0\x96\xcd\xfc\x9d\x1el\x1d\xb5R8\xcf\x04\xa8\xe1\x85.D\x8f+\x03*\x00\x15\x00\xad\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00""",b'1603010200010001fc03039d9b0528a01b19adc1f5f86323711eb8be31b0922c586b746b4657b230d21d14204de676fd3a5e48fb9cd7393aec5cf1c1bd99385fc7aa1963d27c159551b2b0290056130213031301c02cc030c02bc02fcca9cca8009f009eccaac0afc0adc0aec0acc024c028c023c027c00ac014c009c013c0a3c09fc0a2c09e006b006700390033009d009cc0a1c09dc0a0c09c003d003c0035002f00ff0100015d0000000e000c000009776569626f2e636f6d000b000403000102000a000c000a001d0017001e001900180010000b000908687474702f312e31001600000017000000310000000d002a0028040305030603080708080809080a080b080408050806040105010601030303010302040205020602002b00050403040303002d00020101003300260024001d0020648487e34eb1b607d765b096cdfc9d1e6c1db55238cf04a8e1852e448f2b032a001500ad0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000'
47,5774,4,5,0,52,63138,A,0,64,6,53074,172.17.0.2,36.51.254.229,3,1649261657.222640,44298,443,1091188773,1560776728,8,0,502,0,0,b'',b''
48,5776,4,5,0,40,63139,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261657.222649,44298,443,1091188773,1560780703,5,0,489,0,0,b'',b''
49,5777,4,5,0,133,63140,PA,0,64,6,53155,172.17.0.2,36.51.254.229,0,1649261657.223230,44298,443,1091188773,1560780703,5,0,501,0,93,"b'\x16\x03\x03\x00%\x10\x00\x00! |\xa7\xc4\xd0\xf5K,C\xf5K%\x16I\x92\xda\x8e\x93$z\x92\x93m\xa5\x1c\xdc\xa1)l\xb8e\t`\x14\x03\x03\x00\x01\x01\x16\x03\x03\x00(q\x8c\xed2\xa1[\xf2\x88\x1av\xadR\xb6\xbb\x03\x19\xbcU\xd5x\xf7_W\xfc\n\x13}\xa1c\x0cI\x1a@3Z[v\x0b\x08\xe8'",b'160303002510000021207ca7c4d0f54b2c43f54b25164992da8e93247a92936da51cdca1296cb86509601403030001011603030028718ced32a15bf2881a76ad52b6bb0319bc55d578f75f57fc0a137da1630c491a40335a5b760b08e8'
50,5779,4,5,0,40,63141,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261657.517725,44298,443,1091188866,1560780754,5,0,501,0,0,b'',b''
51,5780,4,5,0,209,63142,PA,0,64,6,53231,172.17.0.2,36.51.254.229,0,1649261657.518212,44298,443,1091188866,1560780754,5,0,501,0,169,b'\x17\x03\x03\x00\xa4q\x8c\xed2\xa1[\xf2\x89=X\x8d\x9e\x8b\x16h\xa0\xca \xb9\xe8\x0b\xd2\xa7\x80^\xcd\xd5\xdf\x10\x90>\xb0q\x8e\xa8\x97b\x08>\xb6Z8\xf4\xf7\xa2\xce\xcb\x8d\xc94]\xa8\xde\x85\xad\xd1\r\x05B\x83\xbax\xabC>\x7f\x8c\x14`d\xe9\xa0\xab\x867\x9a\xd8\x8d\x8e\xad\xbb\x02\xdcu\x13\x9d\x03\xb9@\xb3\x1c\xe0\x84n\xe1f\x99\xd8~C\xb0LZv\x94\xfc]7\xbc\xf2\xc8Rs!\xd3Mb:\xf4\xca\xd7\xb7\x7f\xc9E\xcd\xf7\x1b\xda\xb9\x18\xd5\xd3\xd2\x97=4\xfd)2Hv+\xe5Q.\xfek|\xf8\xc3\x88(\xb1u\xa4@*A&\x86\x1aj\x08',b'17030300a4718ced32a15bf2893d588d9e8b1668a0ca20b9e80bd2a7805ecdd5df10903eb0718ea89762083eb65a38f4f7a2cecb8dc9345da8de85add10d054283ba78ab433e7f8c146064e9a0ab86379ad88d8eadbb02dc75139d03b940b31ce0846ee16699d87e43b04c5a7694fc5d37bcf2c8527321d34d623af4cad7b77fc945cdf71bdab918d5d3d2973d34fd293248762be5512efe6b7cf8c38828b175a4402a4126861a6a08'
52,5783,4,5,0,40,63143,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261657.919370,44298,443,1091189035,1560781313,5,0,501,0,0,b'',b''
53,5788,4,5,0,60,33701,S,0,64,6,53082,172.17.0.2,36.51.254.229,5,1649261657.922412,55796,80,3905131734,0,10,0,64240,0,0,b'',b''
54,5794,4,5,0,40,33702,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261658.205921,55796,80,3905131735,4082177271,5,0,502,0,0,b'',b''
55,5795,4,5,0,182,33703,PA,0,64,6,53204,172.17.0.2,36.51.254.229,0,1649261658.206019,55796,80,3905131735,4082177271,5,0,502,0,142,"b'GET /us HTTP/1.1\r\nHost: weibo.com\r\nUser-Agent: python-requests/2.27.1\r\nAccept-Encoding: gzip, deflate\r\nAccept: */*\r\nConnection: keep-alive\r\n\r\n'",b'474554202f757320485454502f312e310d0a486f73743a20776569626f2e636f6d0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e32372e310d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a0d0a'
56,5798,4,5,0,40,33704,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261658.489284,55796,80,3905131877,4082177739,5,0,501,0,0,b'',b''
57,5800,4,5,0,211,63144,PA,0,64,6,53233,172.17.0.2,36.51.254.229,0,1649261658.490572,44298,443,1091189035,1560781313,5,0,501,0,171,b'\x17\x03\x03\x00\xa6q\x8c\xed2\xa1[\xf2\x8a\x07Ff\x15\xa2u.F\xa5C\xc2\x97\xdf\x18~h.\xee\xc30\xb0\xc7]3E\xa5\xb4=\x15>\xac\xf5@\x82\xa3$\x84\xb3h\xce\x8e\x7f\x84\x037\xf6\x81C\xed\x84\xfdP\xac\xf4\x89<\x16[\xe1\xa1\xf1\xa9\xa3>\x87\xb9\t\x8c\xcf=\xf4\xd2\xa5kV\x01\x1a\x9aN+s\xd1\xbc\xfc\x8d\xf3\x8b\xd2\x9d%\nW\xd4\x85\xd5wR\xbel\xednHEF\xeb\x13|\xd9d\xf2\t\xfe^l9_\xa9\x8e\xf1$\x0c\x9a\xe5\x83p\x1e\xc7\x9a\xcaz\xe2\x98k\x1b\x15aM\x96Y\xc6\x97\x11.\x16]\x16DI\xc2\x8f\xe6\xa8l\x08\x9a\xd9\xa1\x84',b'17030300a6718ced32a15bf28a07466615a2752e46a543c297df187e682eeec330b0c75d3345a5b43d153eacf54082a32484b368ce8e7f840337f68143ed84fd50acf4893c165be1a1f1a9a33e87b9098ccf3df4d2a56b56011a9a4e2b73d1bcfc8df38bd29d250a57d485d57752be6ced6e484546eb137cd964f209fe5e6c395fa98ef1240c9ae583701ec79aca7ae2986b1b15614d9659c697112e165d164449c28fe6a86c089ad9a184'
58,5801,4,5,0,40,33705,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261658.531448,55796,80,3905131877,4082177740,5,0,501,0,0,b'',b''
59,5804,4,5,0,40,63145,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261659.071958,44298,443,1091189206,1560794453,5,0,444,0,0,b'',b''
60,5806,4,5,0,52,63146,A,0,64,6,53074,172.17.0.2,36.51.254.229,3,1649261659.071960,44298,443,1091189206,1560794453,8,0,444,0,0,b'',b''
61,5808,4,5,0,40,63147,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261659.071962,44298,443,1091189206,1560797373,5,0,429,0,0,b'',b''
62,5810,4,5,0,40,63148,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261659.071963,44298,443,1091189206,1560797726,5,0,427,0,0,b'',b''
63,5812,4,5,0,40,63149,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261659.071965,44298,443,1091189206,1560801039,5,0,402,0,0,b'',b''
64,5813,4,5,0,40,63150,FA,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261659.073503,44298,443,1091189206,1560801039,5,0,501,0,0,b'',b''
65,5814,4,5,0,40,33706,FA,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261659.074200,55796,80,3905131877,4082177740,5,0,501,0,0,b'',b''
66,5826,4,5,0,40,63151,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649261659.361434,44298,443,1091189207,1560801040,5,0,501,0,0,b'',b''
67,149769,4,5,0,60,58891,S,0,64,6,53082,172.17.0.2,36.51.254.229,5,1649264344.731389,52376,443,78511647,0,10,0,64240,0,0,b'',b''
68,149775,4,5,0,40,58892,A,0,64,6,53062,172.17.0.2,36.51.254.229,,1649264345.024673,52376,443,78511648,3595484699,5,0,502,0,0,b'',b''
