,version,ihl,tos,len,id,flags,frag,ttl,proto,chksum,src,dst,options,time,sport,dport,seq,ack,dataofs,reserved,flags,window,chksum,urgptr,options,payload,payload_raw,payload_hex
35,4,5,0,40,40554,DF,0,50,6,21187,199.30.228.112,172.17.0.2,0,1649266874.271665,80,34498,2068556907,0,5,0,R,0,43380,0,,0,b'',b''
36,4,5,0,40,20,DF,0,43,6,8953,101.226.26.206,172.17.0.2,0,1649267507.567399,443,36514,2041027705,0,5,0,R,0,56478,0,,0,b'',b''
37,4,5,0,40,20,DF,0,43,6,8957,101.226.26.202,172.17.0.2,0,1649267508.413652,443,37590,714027614,0,5,0,R,0,37282,0,,0,b'',b''
38,4,5,0,40,20287,DF,0,234,6,25983,175.99.128.154,172.17.0.2,0,1649267695.148713,80,57114,1306213501,2216122187,5,0,RA,9845,26660,0,,0,b'',b''
39,4,5,0,40,18307,DF,0,234,6,27963,175.99.128.154,172.17.0.2,0,1649267696.372691,443,46870,291400255,2043434443,5,0,RA,9845,43331,0,,0,b'',b''
40,4,5,0,40,49022,DF,0,231,6,13412,108.167.135.50,172.17.0.2,0,1649267806.117319,80,51358,2623757350,4155602661,5,0,RA,0,57299,0,,0,b'',b''
41,4,5,0,40,49534,DF,0,231,6,12900,108.167.135.50,172.17.0.2,0,1649267806.180835,80,51358,2623757350,4155602661,5,0,RA,0,57299,0,,0,b'',b''
42,4,5,0,40,52392,DF,0,43,6,59499,125.39.113.129,172.17.0.2,0,1649268018.459804,80,33432,3714448968,0,5,0,R,0,46733,0,,0,b'',b''
43,4,5,0,40,62746,DF,0,228,6,47927,130.102.184.3,172.17.0.2,0,1649268142.167834,80,54226,1459931099,4086232275,5,0,RA,0,60909,0,,0,b'',b''
44,4,5,0,40,65093,DF,0,228,6,45580,130.102.184.3,172.17.0.2,0,1649268142.991336,443,39592,2250815607,613132600,5,0,RA,0,8332,0,,0,b'',b''
45,4,5,0,40,37771,DF,0,238,6,2637,65.156.1.72,172.17.0.2,0,1649268361.189114,80,33044,2793323586,299829773,5,0,RA,0,49351,0,,0,b'',b''
46,4,5,0,40,45747,DF,0,238,6,60196,65.156.1.72,172.17.0.2,0,1649268361.231620,80,33044,2793323586,299829773,5,0,RA,0,49351,0,,0,b'',b''
47,4,5,0,40,2668,DF,0,228,6,14455,82.222.84.251,172.17.0.2,0,1649268997.356114,80,47348,3454632185,0,5,0,R,8201,13251,0,,0,b'',b''
48,4,5,0,40,29412,DF,0,228,6,53246,82.222.84.251,172.17.0.2,0,1649268998.763599,443,40724,2493959961,0,5,0,R,8201,14171,0,,0,b'',b''
49,4,5,0,40,31457,DF,0,229,6,14343,195.200.115.11,172.17.0.2,0,1649269325.947557,80,51926,496529346,2259784322,5,0,RA,0,23348,0,,0,b'',b''
50,4,5,0,40,31551,DF,0,229,6,14249,195.200.115.11,172.17.0.2,0,1649269326.069296,80,51926,496529346,2259784322,5,0,RA,0,23348,0,,0,b'',b''
51,4,5,0,40,63953,DF,0,235,6,37975,208.36.133.110,172.17.0.2,0,1649269664.560399,80,54974,3669319652,1271873679,5,0,RA,9300,60366,0,,0,b'',b''
52,4,5,0,40,50445,DF,0,234,6,62864,169.235.128.50,172.17.0.2,0,1649269738.516377,443,42334,2791268657,3467104249,5,0,RA,0,35923,0,,0,b'',b''
53,4,5,0,40,7975,DF,0,40,6,24633,193.47.102.45,172.17.0.2,0,1649269963.276999,443,44680,2704967896,3225794877,5,0,RA,0,34950,0,,0,b'',b''
54,4,5,0,40,29978,DF,0,40,6,2630,193.47.102.45,172.17.0.2,0,1649269965.151138,443,44684,2745972132,2566561483,5,0,RA,0,6914,0,,0,b'',b''
55,4,5,0,40,56150,DF,0,45,6,41806,36.51.254.228,172.17.0.2,0,1649270018.610578,80,37974,1345240373,0,5,0,R,0,16043,0,,0,b'',b''
56,4,5,0,40,25621,DF,0,45,6,6799,36.51.254.229,172.17.0.2,0,1649270023.265599,80,49842,1046191426,0,5,0,R,0,16916,0,,0,b'',b''
57,4,5,0,40,63201,DF,0,233,6,57801,63.241.205.31,172.17.0.2,0,1649270074.070677,443,52976,3054211253,4245363799,5,0,RA,0,50652,0,,0,b'',b''
58,4,5,0,40,63475,DF,0,233,6,57527,63.241.205.31,172.17.0.2,0,1649270074.140255,443,52976,3054211253,4245363799,5,0,RA,0,50652,0,,0,b'',b''
59,4,5,0,82,46457,DF,0,226,6,45736,134.178.253.189,172.17.0.2,0,1649270147.407971,443,47732,0,3686189498,5,0,RA,0,21942,0,0,42,b'BIG-IP: [0x245a576:2139] No local listener',b'4249472d49503a205b3078323435613537363a323133395d204e6f206c6f63616c206c697374656e6572'
60,4,5,0,40,40688,DF,0,35,6,37253,47.89.75.238,172.17.0.2,0,1649270258.225849,80,41892,2128967603,3375840053,5,0,R,0,59787,0,,0,b'',b''
61,4,5,0,40,46255,DF,0,231,6,49271,198.200.171.204,172.17.0.2,0,1649270591.346218,443,47658,3890314161,1925312160,5,0,RA,9811,59897,0,,0,b'',b''
62,4,5,0,40,10095,DF,0,112,6,42293,204.79.197.200,172.17.0.2,0,1649270648.841028,443,55010,255711223,4202308624,5,0,RA,0,37703,0,,0,b'',b''
63,4,5,0,40,30937,DF,0,231,6,6496,180.179.160.207,172.17.0.2,0,1649270688.717666,443,44222,925214461,3296812984,5,0,RA,9952,54915,0,,0,b'',b''
64,4,5,0,40,30938,DF,0,231,6,6495,180.179.160.207,172.17.0.2,0,1649270688.717667,443,44222,925214461,0,5,0,R,8201,421,0,,0,b'',b''
65,4,5,0,40,9647,DF,0,44,6,7800,23.224.70.182,172.17.0.2,0,1649270968.191901,443,49706,3195946184,3705547213,5,0,RA,0,55118,0,,0,b'',b''
66,4,5,0,40,56294,DF,0,236,6,28559,165.189.241.136,172.17.0.2,0,1649271129.169230,80,42590,3051916662,3254788719,5,0,RA,0,40441,0,,0,b'',b''
67,4,5,0,40,56298,DF,0,236,6,28555,165.189.241.136,172.17.0.2,0,1649271129.209876,80,42590,3051916662,3254788719,5,0,RA,0,40441,0,,0,b'',b''
68,4,5,0,40,44930,DF,0,237,6,24046,198.54.14.21,172.17.0.2,0,1649271187.612322,80,41586,2698241892,1099419018,5,0,RA,0,62820,0,,0,b'',b''
69,4,5,0,40,45024,DF,0,237,6,23952,198.54.14.21,172.17.0.2,0,1649271187.656766,80,41586,2698241892,1099419018,5,0,RA,0,62820,0,,0,b'',b''
70,4,5,0,40,20,DF,0,42,6,60896,58.215.123.241,172.17.0.2,0,1649271279.775435,80,36614,3038858417,0,5,0,R,0,48091,0,,0,b'',b''
71,4,5,0,40,20,DF,0,42,6,60895,58.215.123.242,172.17.0.2,0,1649271280.041663,443,37444,2987900844,0,5,0,R,0,18240,0,,0,b'',b''
72,4,5,0,40,47870,DF,0,41,6,43402,101.206.219.101,172.17.0.2,0,1649271317.204759,80,38050,2299928543,0,5,0,R,0,33969,0,,0,b'',b''
73,4,5,0,40,59915,DF,0,87,6,26745,52.204.240.107,172.17.0.2,0,1649271557.452684,443,32796,3431055685,3170308034,5,0,RA,0,557,0,,0,b'',b''
74,4,5,0,40,17012,DF,0,234,6,12294,65.204.48.118,172.17.0.2,0,1649271840.785821,80,36516,2951840761,2664356512,5,0,RA,0,21804,0,,0,b'',b''
75,4,5,0,40,46340,DF,0,231,6,27055,60.199.140.65,172.17.0.2,0,1649272252.410162,80,45816,2843882489,1757483532,5,0,RA,9845,2222,0,,0,b'',b''
76,4,5,0,40,51400,DF,0,231,6,21995,60.199.140.65,172.17.0.2,0,1649272254.460188,443,55414,925822052,3407152806,5,0,RA,9845,17599,0,,0,b'',b''
77,4,5,0,40,49045,DF,0,233,6,19921,218.17.254.67,172.17.0.2,0,1649272368.930923,443,59310,1247432548,3992569318,5,0,RA,5239,57319,0,,0,b'',b''
78,4,5,0,52,47169,DF,0,47,6,4498,162.219.51.2,172.17.0.2,0,1649272655.471709,443,41940,755076859,2401854434,8,0,RA,59,7117,0,3,0,b'',b''
79,4,5,0,40,56459,DF,0,47,6,60755,162.219.51.2,172.17.0.2,0,1649272655.491509,443,41940,755076859,0,5,0,R,0,52323,0,,0,b'',b''
80,4,5,0,40,56460,DF,0,47,6,60754,162.219.51.2,172.17.0.2,0,1649272655.491510,443,41940,755076859,0,5,0,R,0,52323,0,,0,b'',b''
81,4,5,0,40,20,DF,0,43,6,49248,101.89.125.239,172.17.0.2,0,1649273997.136079,443,47750,2703129509,0,5,0,R,0,18303,0,,0,b'',b''
82,4,5,0,52,50940,DF,0,42,6,34108,88.198.255.177,172.17.0.2,0,1649274280.310985,443,46016,3827166574,3174381231,8,0,RA,505,19211,0,3,0,b'',b''
83,4,5,0,52,62702,DF,0,42,6,22346,88.198.255.177,172.17.0.2,0,1649274281.629482,443,46020,3099046540,3557713233,8,0,RA,505,24968,0,3,0,b'',b''
84,4,5,0,40,20,DF,0,42,6,62193,58.216.118.223,172.17.0.2,0,1649274313.891179,443,48754,412243786,0,5,0,R,0,8716,0,,0,b'',b''
85,4,5,0,40,20,DF,0,42,6,62193,58.216.118.223,172.17.0.2,0,1649274314.090662,80,58990,4007146352,0,5,0,R,0,18702,0,,0,b'',b''
86,4,5,0,40,20,DF,0,42,6,62193,58.216.118.223,172.17.0.2,0,1649274316.749836,80,58996,3250743994,0,5,0,R,0,16084,0,,0,b'',b''
87,4,5,0,40,20,DF,0,42,6,62193,58.216.118.223,172.17.0.2,0,1649274316.927401,443,48760,3425984725,0,5,0,R,0,25816,0,,0,b'',b''
88,4,5,0,52,53847,DF,0,37,6,59572,201.175.36.245,172.17.0.2,0,1649274487.114275,443,35012,1329260231,2805727268,8,0,RA,31,39957,0,3,0,b'',b''
89,4,5,0,40,10853,DF,0,106,6,29111,216.10.240.149,172.17.0.2,0,1649274520.795697,443,35346,1532666002,663764935,5,0,RA,0,19467,0,,0,b'',b''
90,4,5,0,52,58414,DF,0,47,6,58788,162.219.51.2,172.17.0.2,0,1649274631.736028,443,47816,3205216961,1093687325,8,0,RA,59,20730,0,3,0,b'',b''
91,4,5,0,40,14139,DF,0,47,6,37540,162.219.51.2,172.17.0.2,0,1649274631.755275,443,47816,3205216961,0,5,0,R,0,63390,0,,0,b'',b''
